time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,train/explained_variance,train/entropy_loss,train/n_updates,train/clip_range,train/learning_rate,train/clip_fraction,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/loss,eval/mean_ep_length,eval/mean_reward
1,0.03777778893709183,1,512,50.44444444444444,421,,,,,,,,,,,,
2,0.011904768645763397,2,1024,48.76190476190476,400,-1.409705638885498,-1.608900360763073,4,0.2,0.00025,0.0,0.0011688528,0.0758427940600086,-0.003429654912906699,-0.033562347292900085,,
3,0.019677426666021347,3,1536,48.32258064516129,398,-2.728330373764038,-1.6062751673161983,8,0.2,0.00025,0.0,0.0019187083,0.014206691826984752,-0.004791339626535773,-0.03795376420021057,,
4,0.03142857924103737,5,2048,48.285714285714285,396,-1.1194329261779785,-1.6012285202741623,12,0.2,0.00025,0.0,0.0006914574,0.004939264290442225,-0.0044613873469643295,-0.042441025376319885,,
5,0.030576925724744797,6,2560,48.53846153846154,393,-0.3871501684188843,-1.5996916927397251,16,0.2,0.00025,0.01513671875,0.004405195,0.006578542721399572,-0.011758243548683822,-0.06040479242801666,,
6,0.026031749323010445,7,3072,48.476190476190474,392,-0.5996918678283691,-1.5744685307145119,20,0.2,0.00025,0.07421875,0.0067461394,0.00386471017554868,-0.019725735008250922,-0.06362186372280121,,
7,0.02520548552274704,9,3584,48.52054794520548,392,-1.2833924293518066,-1.5520502962172031,24,0.2,0.00025,0.064453125,0.009347702,0.002689881483092904,-0.02444971166551113,-0.09536310285329819,,
8,0.037790704518556595,10,4096,47.58139534883721,390,-1.8290066719055176,-1.5087880417704582,28,0.2,0.00025,0.08056640625,0.012982764,0.0030063227604841813,-0.030658548115752637,-0.07937023043632507,,
9,0.046938780695199966,11,4608,46.83673469387755,389,-0.7098288536071777,-1.440543506294489,32,0.2,0.00025,0.11962890625,0.015457489,0.004302027125959285,-0.03175755386473611,-0.0910227969288826,,
,,,5000,,,-0.4151949882507324,-1.4378432929515839,36,0.2,0.00025,0.14697265625,0.018455375,0.00365677906665951,-0.026833833020646125,-0.09431945532560349,38.0,2.360000006854534
10,0.06120000779628754,13,5120,47.0,378,,,,,,,,,,,,
11,0.09140001237392426,14,5632,46.94,379,-0.17911946773529053,-1.3778505213558674,40,0.2,0.00025,0.2080078125,0.021960322,0.007799122802680358,-0.02347220672527328,-0.09421896934509277,,
12,0.10620000213384628,16,6144,47.42,379,0.05919826030731201,-1.3641636110842228,44,0.2,0.00025,0.13427734375,0.016814098,0.011745045951101929,-0.0284924375009723,-0.07806675881147385,,
13,0.1242000013589859,17,6656,47.2,379,0.27517402172088623,-1.3526098802685738,48,0.2,0.00025,0.14892578125,0.020737652,0.00946014681539964,-0.029175298346672207,-0.06618531793355942,,
14,0.1767999827861786,18,7168,46.38,380,-0.45057427883148193,-1.3433864563703537,52,0.2,0.00025,0.21826171875,0.028107706,0.007949827806442045,-0.031123189022764564,-0.10779749602079391,,
15,0.219200000166893,20,7680,45.74,381,-0.03944087028503418,-1.2371214516460896,56,0.2,0.00025,0.15478515625,0.018119391,0.054694960126653314,-0.024193728400859982,-0.045453477650880814,,
16,0.2777000367641449,21,8192,45.06,381,-0.07468211650848389,-1.1914789378643036,60,0.2,0.00025,0.16552734375,0.02945758,0.019328923692228273,-0.024261073500383645,-0.0761583223938942,,
17,0.3513000011444092,22,8704,46.58,382,0.2320048213005066,-1.1156517267227173,64,0.2,0.00025,0.19140625,0.031003976,0.054922002484090626,-0.025270514248404652,-0.05700317397713661,,
18,0.38280001282691956,24,9216,49.06,382,0.2233719825744629,-1.2238054312765598,68,0.2,0.00025,0.1923828125,0.023971718,0.06529969582334161,-0.017596580495592207,-0.06286443769931793,,
19,0.40039998292922974,25,9728,49.08,381,0.10517144203186035,-1.3374257758259773,72,0.2,0.00025,0.19677734375,0.01959114,0.04176386646577157,-0.009319650067482144,-0.06774406135082245,,
,,,10000,,,0.36359673738479614,-1.2986411973834038,76,0.2,0.00025,0.2021484375,0.030493746,0.01827815404976718,-0.025826283323112875,-0.07351529598236084,38.0,2.360000006854534
20,0.48740002512931824,27,10240,48.7,376,,,,,,,,,,,,
21,0.5194999575614929,28,10752,48.74,377,0.15020757913589478,-1.152648776769638,80,0.2,0.00025,0.18896484375,0.03821317,0.1466588901821524,-0.025086082983762026,0.03695918619632721,,
22,0.574400007724762,29,11264,48.16,377,0.04636549949645996,-1.1812291368842125,84,0.2,0.00025,0.17919921875,0.030237664,0.03348230998381041,-0.029167820495786145,-0.042526960372924805,,
23,0.6331000328063965,31,11776,48.44,377,0.4316787123680115,-1.1368337571620941,88,0.2,0.00025,0.16748046875,0.025850238,0.08412164740730077,-0.022193871904164553,-0.006037957966327667,,
24,0.7479000091552734,32,12288,48.0,377,0.38072556257247925,-0.9933567680418491,92,0.2,0.00025,0.19482421875,0.022891108,0.10788122355006635,-0.015407401195261627,-0.022008121013641357,,
25,0.8413001298904419,33,12800,47.8,378,0.4462219476699829,-0.9133642762899399,96,0.2,0.00025,0.1083984375,0.021431448,0.13988921279087663,-0.009973744279704988,0.03312557935714722,,
26,0.9897000193595886,35,13312,44.74,379,0.3685508370399475,-0.8521144241094589,100,0.2,0.00025,0.13525390625,0.020064723,0.17144240904599428,-0.00817811000160873,0.048071134835481644,,
27,1.1405000686645508,36,13824,42.5,379,0.39762789011001587,-0.6761479340493679,104,0.2,0.00025,0.07763671875,0.011976138,0.12413706874940544,-0.004201185773126781,0.02271313965320587,,
28,1.2969000339508057,37,14336,41.46,379,0.33193618059158325,-0.740726500749588,108,0.2,0.00025,0.09814453125,0.018412627,0.16131328791379929,-0.010747658234322444,0.023695196956396103,,
29,1.485700249671936,39,14848,40.38,380,0.5149837136268616,-0.6897058058530092,112,0.2,0.00025,0.10693359375,0.0192619,0.09257988049648702,-0.01365875091869384,0.017324451357126236,,
,,,15000,,,0.5348007678985596,-0.7032594159245491,116,0.2,0.00025,0.07568359375,0.008485572,0.09995997464284301,-0.008428709057625383,0.03566928952932358,38.0,2.360000006854534
30,1.6327002048492432,40,15360,38.5,377,,,,,,,,,,,,
