time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,train/explained_variance,train/entropy_loss,train/n_updates,train/clip_range,train/learning_rate,train/clip_fraction,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/loss,eval/mean_ep_length,eval/mean_reward
1,-0.10999999195337296,0,512,160.0,525,,,,,,,,,,,,
2,-0.125,2,1024,160.0,509,-11.646750450134277,-1.6084406077861786,4,0.2,0.00025,0.0,0.002868957,0.04068072760128416,-0.005298515781760216,-0.029477212578058243,,
3,-0.12333332002162933,2,1536,160.0,519,-6.385833263397217,-1.6052701026201248,8,0.2,0.00025,0.0,0.0028910553,0.007519568709540181,-0.006094059383030981,-0.05751441419124603,,
4,-0.12083332985639572,3,2048,160.0,524,-19.85554313659668,-1.602690503001213,12,0.2,0.00025,0.00341796875,0.00288704,0.0036944574312656187,-0.006177057483000681,-0.030447645112872124,,
5,-0.12812499701976776,4,2560,160.0,527,-8.091320037841797,-1.5965646840631962,16,0.2,0.00025,0.0,0.0017758061,0.0025501705094939098,-0.006659588951151818,-0.04672626778483391,,
6,-0.09789473563432693,5,3072,159.68421052631578,529,-7.888708114624023,-1.5969999805092812,20,0.2,0.00025,0.00927734375,0.0042574643,0.002242886563180946,-0.01305699604563415,-0.041659269481897354,,
7,-0.08681818842887878,6,3584,159.72727272727272,530,-0.22421300411224365,-1.5940913408994675,24,0.2,0.00025,0.01611328125,0.006460355,0.005133071761520114,-0.019294854399049655,-0.03976449742913246,,
8,-0.028399992734193802,7,4096,158.8,526,-2.506282329559326,-1.586204644292593,28,0.2,0.00025,0.0185546875,0.0068117324,0.003259234654251486,-0.01757153957441915,-0.05195166543126106,,
9,-0.03714285045862198,8,4608,158.92857142857142,523,-0.2858823537826538,-1.5759587027132511,32,0.2,0.00025,0.095703125,0.005642689,0.007670148603210691,-0.023044114845106378,-0.06962485611438751,,
,,,5000,,,-3.6331582069396973,-1.574438937008381,36,0.2,0.00025,0.03173828125,0.006564657,0.0022031727821740787,-0.0244284775108099,-0.09523255378007889,152.8,-0.047999992966651917
10,-0.03312499076128006,10,5120,159.0,477,,,,,,,,,,,,
11,-0.020571419969201088,11,5632,159.02857142857144,477,-2.6327288150787354,-1.5589574463665485,40,0.2,0.00025,0.08740234375,0.010444052,0.002140004748071078,-0.029963652952574193,-0.09235682338476181,,
12,-0.0034210411831736565,12,6144,158.57894736842104,478,-0.5979040861129761,-1.549244724214077,44,0.2,0.00025,0.0751953125,0.010874521,0.004803178166184807,-0.03045331226894632,-0.10222560912370682,,
13,-0.011219503358006477,13,6656,158.6829268292683,480,-0.34873640537261963,-1.5458817668259144,48,0.2,0.00025,0.06982421875,0.009292399,0.006053417790099047,-0.02894997113617137,-0.09101147949695587,,
14,0.017555566504597664,14,7168,158.44444444444446,481,-0.3057425022125244,-1.5448250100016594,52,0.2,0.00025,0.1123046875,0.011962345,0.007729716635367367,-0.03370924270711839,-0.10161369293928146,,
15,0.014166678301990032,15,7680,158.33333333333334,480,-0.22596025466918945,-1.5474834516644478,56,0.2,0.00025,0.14892578125,0.01230008,0.005704645860532764,-0.03577555103402119,-0.08969037979841232,,
16,0.020980404689908028,17,8192,158.07843137254903,480,-1.2854831218719482,-1.544091384857893,60,0.2,0.00025,0.16015625,0.014194729,0.003035459332750179,-0.03548953594872728,-0.09468422085046768,,
17,0.04018183797597885,18,8704,157.6,481,-0.11812698841094971,-1.5357208028435707,64,0.2,0.00025,0.10986328125,0.013128832,0.006242446448595729,-0.03400040545966476,-0.09943971037864685,,
18,0.0294827688485384,19,9216,157.72413793103448,482,-0.10071170330047607,-1.5271346531808376,68,0.2,0.00025,0.21875,0.01737165,0.009778900857781991,-0.03688648558454588,-0.08005042374134064,,
19,0.040983617305755615,20,9728,157.80327868852459,482,-8.128779411315918,-1.5059523470699787,72,0.2,0.00025,0.20166015625,0.018502958,0.0023569164623040706,-0.039130820077843964,-0.1219492256641388,,
,,,10000,,,-0.07566952705383301,-1.4921137169003487,76,0.2,0.00025,0.1513671875,0.020419247,0.007572404909296893,-0.03786957770353183,-0.1088523417711258,148.4,0.09000000692903995
20,0.05500001460313797,22,10240,157.625,464,,,,,,,,,,,,
21,0.060000013560056686,23,10752,157.26470588235293,465,-0.43997251987457275,-1.4711253829300404,80,0.2,0.00025,0.154296875,0.018202174,0.005609526939224452,-0.03487888039671816,-0.07388704270124435,,
22,0.059154946357011795,24,11264,157.38028169014083,466,-0.19669008255004883,-1.4955630749464035,84,0.2,0.00025,0.12744140625,0.016173732,0.007258982048369944,-0.0326410896377638,-0.09097124636173248,,
23,0.08266668021678925,25,11776,156.82666666666665,467,-0.8732764720916748,-1.4811367355287075,88,0.2,0.00025,0.17724609375,0.017565371,0.0020466822570597287,-0.036163432931061834,-0.11118554323911667,,
24,0.08858975768089294,26,12288,156.3846153846154,468,-0.05481255054473877,-1.460361059755087,92,0.2,0.00025,0.19482421875,0.022156255,0.011852370284032077,-0.03560101689072326,-0.08858248591423035,,
25,0.08765433728694916,27,12800,156.2469135802469,468,-0.2785595655441284,-1.4405785761773586,96,0.2,0.00025,0.177734375,0.017728262,0.007554926829470787,-0.03437782154651359,-0.09892405569553375,,
26,0.09482354670763016,28,13312,155.88235294117646,469,-1.0511102676391602,-1.4473113752901554,100,0.2,0.00025,0.21630859375,0.021372799,0.0026083517077495344,-0.042731259658467025,-0.09962227940559387,,
27,0.10784092545509338,29,13824,155.6818181818182,469,-0.07257413864135742,-1.4457057602703571,104,0.2,0.00025,0.1298828125,0.016670883,0.009660280687967315,-0.029541836702264845,-0.08037879317998886,,
28,0.11880437284708023,30,14336,155.6086956521739,471,-0.10899627208709717,-1.4685593992471695,108,0.2,0.00025,0.13916015625,0.017921135,0.010341762623284012,-0.04180167039157823,-0.08639255166053772,,
