time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/learning_rate,train/entropy_loss,rollout/ep_rew_mean,train/loss,train/clip_fraction,train/value_loss,train/approx_kl,train/clip_range,train/explained_variance,rollout/ep_len_mean,train/n_updates,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length
512,424,1,1,,,,,,,,,,,,,,
1024,403,2,2,0.00025,-1.6090308241546154,-2.5699987411499023,-0.00588427996262908,0.0,0.049514790560351685,0.0009573902,0.2,-6.9079203605651855,564.0,4,-0.003105730749666691,,
1536,407,3,3,0.00025,-1.606887012720108,-3.1949985027313232,-0.009609704837203026,0.0,0.0874853326822631,0.0021252553,0.2,-0.5260776281356812,602.0,8,-0.003984726819908246,,
2048,410,4,4,0.00025,-1.6039536967873573,-3.566664934158325,0.024801764637231827,0.0302734375,0.08708154130727053,0.0054213223,0.2,-0.057013630867004395,614.6666666666666,12,-0.005571932357270271,,
2560,409,6,5,0.00025,-1.6064598932862282,-3.7449984550476074,-0.013908475637435913,0.0,0.07152874959865585,0.0012734593,0.2,-0.11020970344543457,621.0,16,-0.0030466410680674016,,
3072,407,7,6,0.00025,-1.606676496565342,-3.7449984550476074,-0.010311244055628777,0.0,0.05178581897052936,0.0016143275,0.2,0.016149580478668213,621.0,20,-0.0029561796109192073,,
3584,406,8,7,0.00025,-1.6026833318173885,-3.8779983520507812,-0.05322115495800972,0.01171875,0.008100121362076607,0.005829165,0.2,-5.168550491333008,624.8,24,-0.012161169783212245,,
4096,405,10,8,0.00025,-1.5923300944268703,-3.7483317852020264,-0.0026958733797073364,0.0205078125,0.05447866127360612,0.004807646,0.2,-0.3141655921936035,620.6666666666666,28,-0.007091325212968513,,
4608,404,11,9,0.00025,-1.5942221097648144,-3.8085696697235107,0.004343506880104542,0.01220703125,0.03234336060995702,0.006256989,0.2,0.19108599424362183,623.4285714285714,32,-0.007849668385460973,,
5120,403,12,10,0.00025,-1.5915005318820477,-3.0912485122680664,-0.015263237990438938,0.02783203125,0.023691947862971574,0.006784493,0.2,0.40915030241012573,613.25,36,-0.00589861290063709,,
5632,403,13,11,0.00025,-1.5883122123777866,-2.906665086746216,-0.03291846811771393,0.015625,0.051129084604326636,0.0039051338,0.2,-0.6856075525283813,610.6666666666666,40,-0.008520034316461533,,
6144,403,15,12,0.00025,-1.5839572213590145,-2.953998565673828,0.012561114504933357,0.04052734375,0.053399597527459264,0.0072543374,0.2,-0.5356768369674683,613.6,44,-0.00933710060780868,,
6656,402,16,13,0.00025,-1.5688311532139778,-2.953998565673828,-0.03734268248081207,0.0546875,0.036806027055718005,0.009222557,0.2,-0.09432268142700195,613.6,48,-0.01330486877122894,,
